sample	Coilia nasus	Monopterus albus	Culter spp.	Culterinae spp.	Ctenopharyngodon idella	Squaliobarbus curriculus	Megalobrama spp.	Elopichthys bambusa	Sarcocheilichthys sinensis	Hemibarbus spp.	Carassius auratus	Rhynchocypris lagowskii	Cyprinidae spp.	Hypophthalmichthyinae spp.	Schizothoracinae spp.	Culter mongolicus	Saurogobio spp.	Pseudobrama simoni	Paracanthobrama guichenoti	Microphysogobio spp.	Acheilognathus spp.	Lefua costata	Cobitinae spp.	Micropterus salmoides	Siniperca spp.	Scomber spp.	Amphiprion spp.	Pseudosciaeninae	Rhinogobius cliffordpopei	Rhinogobius	Bagridae spp.	Pelteobagrus fulvidraco	Silurus asotus	Silurus spp.
S1	0	0	0	158	0	0	148	0	0	52	409	0	529	393	29	128	44	0	171	0	0	0	85	0	0	224	0	183	0	0	0	131	0	0
S2	0	145	0	6310	57	0	129	27	0	327	5140	0	18344	255	59	893	0	1371	0	0	0	0	359	0	56	37	0	0	0	23	0	372	487	3513
S3	0	0	44	324	329	0	60	565	0	137	2336	0	2567	193	102	1407	0	341	0	24	81	0	0	0	45	133	0	180	11	2169	0	95	119	0
S4	71	0	0	1520	170	0	0	604	0	78	3612	0	5354	729	114	1582	0	673	21	0	0	0	0	0	528	372	0	189	0	57	0	771	130	0
S5	0	0	0	1059	19	0	0	0	0	0	22897	0	9784	80	0	2597	0	1361	0	0	0	0	0	478	90	0	0	31	145	933	0	722	243	0
S6	404	0	0	206	355	0	0	958	0	945	1017	0	31598	647	1160	1059	664	0	105	0	0	0	0	0	393	322	0	0	0	0	0	123	0	120
S7	0	0	609	68	6749	0	0	1981	0	428	1353	0	3844	693	324	10669	290	239	0	1242	0	0	347	0	611	0	0	0	200	0	0	606	204	0
S8	1149	0	0	1623	128	0	0	1	64	1381	4048	0	49931	340	0	4732	113	0	0	0	1494	0	276	0	360	2838	0	0	0	0	0	302	3248	0
S9	271	4219	97	95	1551	0	0	1045	39	249	73	0	10011	53	46	263	49	0	0	23	0	0	42456	0	505	0	0	0	33	217	143	2	301	0
S10	140	0	72	1002	1493	1	326	4490	604	121	378	0	12925	3055	1145	640	155	670	0	293	0	0	0	0	66	317	0	122	0	0	0	138	0	0
S11	90	0	42	842	459	79	63	209	103	0	1063	0	88736	512	30	1350	0	36	0	47	0	0	36	0	333	0	0	0	142	0	13	329	470	14
S12	0	0	0	4950	698	0	0	330	0	0	1818	0	4772	725	241	737	0	376	0	0	0	3321	0	0	0	2659	0	879	0	656	0	0	0	0
S13	870	0	440	1	0	0	0	0	0	0	2556	1141	974	0	3423	949	0	0	0	0	0	740	0	0	330	1250	0	5194	0	0	0	0	0	202
S14	0	0	0	1522	1073	746	0	269	0	0	1325	0	2849	815	444	24388	0	494	472	0	0	0	95	0	0	8611	1057	0	0	1024	277	0	8632	550
S15	258	0	0	339	1013	0	0	681	0	0	92	0	11553	2646	181	374	0	0	155	0	0	0	0	202	0	141	0	0	0	0	204	103	0	0
