species	Coilia spp.	Monopterus albus	Abbottina spp.	Culter spp.	Culterinae spp.	Rhodeus uyekii	Hemiculter spp.	Ctenopharyngodon idella	Squaliobarbus curriculus	Megalobrama spp.	Elopichthys bambusa	Sarcocheilichthys sinensis	Hemibarbus spp.	Carassius auratus	Gobioninae spp.	Cyprinidae spp.	Hypophthalmichthyinae spp.	Schizothoracinae spp.	Pseudorasbora parva	Sarcocheilichthys spp.	Saurogobio dabryi	Paracanthobrama guichenoti	Acheilognathus rhombeus	Leuciscinae spp.	Squalidus spp.	Lefua costata	Cobitinae spp.	Sinobdella sinensis	Siniperca spp.	Odontobutis sinensis	Rhinogobius	Mugilogobius myxodermus	Rhinogobius giurinus	Channa argus	Bagridae spp.	Pelteobagrus spp.	Silurus spp.
S1	31	0	0	6	5	0	265	11	1	1	25	0	1	23	1	0	0	250	2	1	16	0	0	11	0	0	0	0	3	0	17	4	12	11	0	13	4
S2	80	7	0	6	142	0	4968	32	3	4	337	0	5	63	0	6	18	407	0	2	255	5	1	76	0	0	12	12	54	0	227	3	77	64	2	127	16
S3	39	1	41	5	114	41	3737	20	5	108	149	0	73	90	146	146	11	1150	1	1	1060	52	1	83	0	0	5	5	26	0	330	4	1151	75	3	18	51
S4	11	191	51	873	1151	46	2460	132	0	16	293	0	104	3244	0	2	81	1285	45	2	2560	21	1	1054	43	43	122	122	334	0	2332	550	1366	14	0	781	1061
S5	4	76	19	36	496	2	1201	158	1	1	305	0	1	1410	3	0	63	120	3	2	493	1	0	68	146	146	48	48	4	0	581	301	304	232	3	1516	213
S6	11	0	44	30	173	1	61	573	3	29	88	4	17	1201	2	1	0	931	0	10	87	2	0	44	0	0	3	3	119	0	55	15	195	4	4	161	112
S7	112	0	0	226	114	3	184	38	2	69	81	1	39	109	174	0	0	411	1	9	151	14	32	108	0	0	0	0	50	1	831	3	475	6	65	94	11
S8	59	14	72	6	58	718	1066	148	338	4	59	27	46	4078	3	2	198	287	341	215	1102	365	12	1025	2	2	207	207	268	195	1346	230	1934	1532	34	1028	47
S9	60	2	0	1	75	52	99	32	1	2	67	27	54	191	2	1	0	111	47	16	124	1	0	399	0	0	26	26	77	16	62	1	16	47	94	68	52
S10	19	1	2	3	55	1	39	111	2	39	81	0	16	52	5	2	9	58	1	1	48	1	26	7	0	0	1	1	31	28	78	3	14	6	49	33	15
S11	3	2	0	30	187	7	39	167	49	6	53	28	23	107	1	0	0	156	0	14	58	2	1	54	0	0	0	0	125	19	57	14	97	22	68	62	33
S12	1	0	1	20	81	2	41	2319	0	58	137	0	1	32	0	51	0	103	1	0	18	1	30	3	0	0	2	2	30	0	102	3	185	8	22	8	39
S13	1	3	13	5	20	5	43	28	100	2	97	0	1	37	0	2	2	1258	1	1	18	2	0	1	0	0	2	2	94	0	206	2	258	4	36	67	93
S14	18	2	0	3	216	3	37	67	114	31	56	11	28	48	0	0	22	633	0	26	16	2	0	6	0	0	1	1	22	0	58	19	14	2	120	12	1
S15	22	2	0	47	179	4	50	214	117	23	214	18	10	90	3	1	2	487	2	9	67	0	34	15	0	0	2	2	83	15	73	2	57	6	266	72	27
