species	Coilia nasus	Salmoninae spp.	Protosalanginae spp.	Hyporhamphus intermedius	Gambusia affinis	Abbottina rivularis	Culter spp.	Culterinae spp.	Ctenopharyngodon idella	Elopichthys bambusa	Xenocypris spp.	Hemibarbus spp.	Carassius auratus	Cyprinus carpio	Cyprinidae spp.	Hypophthalmichthyinae spp.	Pseudorasbora parva	Culter mongolicus	Saurogobio dabryi	Pseudobrama simoni	Paracanthobrama guichenoti	Microphysogobio spp.	Leuciscinae spp.	Acheilognathus spp.	Leptobotia spp.	Siniperca spp.	Micropercops swinhonis	Rhinogobius cliffordpopei	Rhinogobius giurinus	Channa argus	Bagridae spp.	Clarias spp.	Silurus asotus
S1	27357	0	293	21509	0	0	4	13704	2	0	0	359	3326	472	45	277	91	2799	122	1272	0	0	0	0	0	0	0	230	196	109	254	0	77
S2	105	32	0	0	0	0	0	919	0	0	0	0	15320	19	0	1721	245	0	0	0	1	0	0	0	0	246	109	10346	9759	865	85	0	0
S3	12569	0	727	4412	0	0	1728	7422	1	0	0	0	9643	675	32	1040	185	7859	0	8319	0	0	144	0	0	0	0	0	1380	0	116	0	148
S4	343	0	144	4372	0	360	0	10126	0	0	0	1404	13589	4687	1078	981	170	2839	146	1154	0	0	0	1	0	655	0	500	801	401	5	0	5
S5	185	0	0	0	1522	45	1	60560	117	0	0	1	43639	2039	221	20874	1132	500	0	6504	0	0	0	0	0	340	126	438	1129	113	379	0	1088
S6	164	0	0	144	0	772	0	6041	1742	283	0	122	37012	3261	161	627	209	2608	0	231	0	0	770	132	0	407	353	295	533	131	117	0	0
S7	60306	0	486	2556	0	0	431	5708	453	1331	0	2435	8317	12296	530	1770	0	17690	221	7189	91	29	425	526	0	1480	0	141	512	200	1046	0	581
S8	10220	0	0	4174	0	197	280	6831	3356	4890	0	4640	33260	11347	568	12943	158	7593	667	3334	0	0	532	1060	0	1888	515	793	1105	183	3157	0	1083
S9	14755	0	34	4686	0	1066	26	6471	4148	1030	0	2553	15949	26305	1665	6057	97	12058	1061	1482	0	2830	2161	2622	0	14521	134	1473	494	129	2602	0	712
S10	3981	0	0	1098	0	0	1943	1440	26110	1035	0	1082	21813	14528	4325	5082	0	18379	126	303	0	108	951	2	0	456	0	0	0	0	1312	0	367
S11	3914	0	0	0	0	0	886	1732	12	7145	875	967	8144	29886	1578	5563	0	55777	492	1066	565	1	1874	1298	0	942	0	0	907	0	598	0	1051
S12	0	836	0	587	0	0	0	3	0	0	3126	435	5493	11902	361	4324	1514	777	371	0	8504	0	522	4703	51	6174	0	0	247	0	332	0	0
S13	0	0	0	0	0	0	0	2111	110	0	0	0	800	161	1205	1557	902	158	2	0	0	0	156	0	0	0	881	0	0	0	0	9	0
S14	2	4212	0	1	0	0	4	24	3	0	0	1921	21032	35581	27885	3987	5435	0	21794	0	0	0	0	0	0	2794	0	0	0	0	0	7917	10449
S15	737	0	0	4569	0	0	6	2169	1772	823	0	0	4776	6198	890	53298	466	3772	579	1284	997	0	1	0	1483	4823	0	0	1867	0	1070	0	214
